season,week,game_id,matchup,kickoff_et,away_team,home_team,stadium,venue_label,roof,surface,spread_line,total_line,forecast_status,temperature_f,wind_mph,gust_mph,precip_probability,weather_code,weather_risk,forecast_note,forecast_retrieved_at_utc
2026,1,2026_01_NE_SEA,NE @ SEA,"Wed, Sep 09 - 08:20 PM ET",NE,SEA,Lumen Field,Seattle,outdoors,fieldturf,3.0,44.5,RECORDED_GAME_WEATHER,74.0,6.0,,,,LOW_WEATHER_RISK,Recorded game weather from the schedule source.,2026-09-14T04:03:35.984824+00:00
2026,1,2026_01_SF_LA,SF @ LA,"Thu, Sep 10 - 08:35 PM ET",SF,LA,Melbourne Cricket Ground,Melbourne,dome,grass,3.5,47.5,INDOORS,,,,,,INDOORS,Indoor venue; outdoor weather is not expected to matter.,2026-09-14T04:03:35.984824+00:00
2026,1,2026_01_ATL_PIT,ATL @ PIT,"Sun, Sep 13 - 01:00 PM ET",ATL,PIT,Acrisure Stadium,Pittsburgh,outdoors,,6.5,40.5,PAST_GAME_NO_RECORDED_WEATHER,,,,,,FORECAST_UNAVAILABLE,The game is past and recorded weather is unavailable.,2026-09-14T04:03:35.984824+00:00
2026,1,2026_01_BAL_IND,BAL @ IND,"Sun, Sep 13 - 01:00 PM ET",BAL,IND,Lucas Oil Stadium,Indianapolis,closed,,-3.0,48.5,INDOORS,,,,,,INDOORS,Indoor venue; outdoor weather is not expected to matter.,2026-09-14T04:03:35.984824+00:00
2026,1,2026_01_BUF_HOU,BUF @ HOU,"Sun, Sep 13 - 01:00 PM ET",BUF,HOU,Reliant Stadium,Houston,closed,,-1.5,44.5,INDOORS,,,,,,INDOORS,Indoor venue; outdoor weather is not expected to matter.,2026-09-14T04:03:35.984824+00:00
2026,1,2026_01_CHI_CAR,CHI @ CAR,"Sun, Sep 13 - 01:00 PM ET",CHI,CAR,Bank of America Stadium,Charlotte,outdoors,,-3.0,47.5,PAST_GAME_NO_RECORDED_WEATHER,,,,,,FORECAST_UNAVAILABLE,The game is past and recorded weather is unavailable.,2026-09-14T04:03:35.984824+00:00
2026,1,2026_01_CLE_JAX,CLE @ JAX,"Sun, Sep 13 - 01:00 PM ET",CLE,JAX,EverBank Stadium,Jacksonville,outdoors,,8.5,40.5,PAST_GAME_NO_RECORDED_WEATHER,,,,,,FORECAST_UNAVAILABLE,The game is past and recorded weather is unavailable.,2026-09-14T04:03:35.984824+00:00
2026,1,2026_01_NO_DET,NO @ DET,"Sun, Sep 13 - 01:00 PM ET",NO,DET,Ford Field,Detroit,dome,,7.0,49.5,INDOORS,,,,,,INDOORS,Indoor venue; outdoor weather is not expected to matter.,2026-09-14T04:03:35.984824+00:00
2026,1,2026_01_NYJ_TEN,NYJ @ TEN,"Sun, Sep 13 - 01:00 PM ET",NYJ,TEN,Nissan Stadium,Nashville,outdoors,,1.5,39.5,PAST_GAME_NO_RECORDED_WEATHER,,,,,,FORECAST_UNAVAILABLE,The game is past and recorded weather is unavailable.,2026-09-14T04:03:35.984824+00:00
2026,1,2026_01_TB_CIN,TB @ CIN,"Sun, Sep 13 - 01:00 PM ET",TB,CIN,Paycor Stadium,Cincinnati,outdoors,,3.5,50.5,PAST_GAME_NO_RECORDED_WEATHER,,,,,,FORECAST_UNAVAILABLE,The game is past and recorded weather is unavailable.,2026-09-14T04:03:35.984824+00:00
2026,1,2026_01_ARI_LAC,ARI @ LAC,"Sun, Sep 13 - 04:25 PM ET",ARI,LAC,SoFi Stadium,Inglewood,dome,,8.5,47.5,INDOORS,,,,,,INDOORS,Indoor venue; outdoor weather is not expected to matter.,2026-09-14T04:03:35.984824+00:00
2026,1,2026_01_GB_MIN,GB @ MIN,"Sun, Sep 13 - 04:25 PM ET",GB,MIN,U.S. Bank Stadium,Minneapolis,dome,,1.5,46.5,INDOORS,,,,,,INDOORS,Indoor venue; outdoor weather is not expected to matter.,2026-09-14T04:03:35.984824+00:00
2026,1,2026_01_MIA_LV,MIA @ LV,"Sun, Sep 13 - 04:25 PM ET",MIA,LV,Allegiant Stadium,Las Vegas,dome,,3.0,40.5,INDOORS,,,,,,INDOORS,Indoor venue; outdoor weather is not expected to matter.,2026-09-14T04:03:35.984824+00:00
2026,1,2026_01_WAS_PHI,WAS @ PHI,"Sun, Sep 13 - 04:25 PM ET",WAS,PHI,Lincoln Financial Field,Philadelphia,outdoors,,6.0,43.5,PAST_GAME_NO_RECORDED_WEATHER,,,,,,FORECAST_UNAVAILABLE,The game is past and recorded weather is unavailable.,2026-09-14T04:03:35.984824+00:00
2026,1,2026_01_DAL_NYG,DAL @ NYG,"Sun, Sep 13 - 08:20 PM ET",DAL,NYG,MetLife Stadium,East Rutherford,outdoors,,-3.0,47.5,FORECAST_AVAILABLE,76.8,0.7,2.5,0.0,0.0,LOW_WEATHER_RISK,Display-only Open-Meteo forecast near scheduled kickoff.,2026-09-14T04:03:35.984824+00:00
2026,1,2026_01_DEN_KC,DEN @ KC,"Mon, Sep 14 - 08:15 PM ET",DEN,KC,GEHA Field at Arrowhead Stadium,Kansas City,outdoors,grass,2.5,43.5,FORECAST_AVAILABLE,91.0,15.5,32.9,1.0,0.0,STRONG_GUSTS | EXTREME_HEAT,Display-only Open-Meteo forecast near scheduled kickoff.,2026-09-14T04:03:35.984824+00:00
